brand_name,price,rating,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,ram_capacity,internal_memory,screen_size,refresh_rate,num_rear_cameras,num_front_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_width,resolution_height,has_5g_False,has_5g_True,has_nfc_False,has_nfc_True,has_ir_blaster_False,has_ir_blaster_True
24.0,2.3823003288796016,1.4942416743137623,7.0,0.19612821997786992,1.9460609525716652,0.5869985278958665,0.40075685971179664,2.2457661236883566,2.0691092477781097,0.8394073260623858,0.9928425798682502,0.24096512626091027,-0.15948377230252883,0.0,-0.04668905076822069,-0.07839481339820928,-1.4495566821959,1.4862556572807524,2.1751076234862166,0.0,1.0,0.0,1.0,1.0,0.0
24.0,-0.1994676426702858,0.3816301647534013,7.0,0.19612821997786992,-0.4453123106220135,0.5869985278958665,0.40075685971179664,-0.15515062543276176,0.057128690751093406,0.2114355486139562,0.9928425798682502,0.24096512626091027,-0.15948377230252883,0.0,0.39522920204589923,-0.07839481339820928,0.6898660895999755,0.12821956650506205,0.48614051666802105,0.0,1.0,1.0,0.0,1.0,0.0
29.0,-0.45683325880022313,-0.45282846741686955,2.0,0.19612821997786992,0.032962342016721616,0.5869985278958665,0.40075685971179664,-0.9554562084731345,-0.9488615877624148,0.26852389201835747,-0.08697769015742003,0.24096512626091027,-0.15948377230252883,0.0,-0.04668905076822069,-0.35102084425336194,0.6898660895999755,0.12821956650506205,0.47773769524106485,0.0,1.0,1.0,0.0,1.0,0.0
20.0,-0.5674488531254112,0.3816301647534013,7.0,0.19612821997786992,-0.4453123106220135,0.5869985278958665,0.40075685971179664,-0.15515062543276176,0.057128690751093406,-0.016917825003654133,0.9928425798682502,0.24096512626091027,-0.15948377230252883,0.0,-0.04668905076822069,-0.07839481339820928,0.6898660895999755,0.12821956650506205,0.46093205238715246,0.0,1.0,1.0,0.0,1.0,0.0
27.0,0.16998844237584204,0.5207066034484464,1.0,0.19612821997786992,0.5112369946554578,0.5869985278958665,0.40075685971179664,-0.15515062543276176,0.057128690751093406,0.8394073260623858,0.9928425798682502,0.24096512626091027,-0.15948377230252883,0.0,1.7841151394617047,-0.07839481339820928,-1.4495566821959,0.12821956650506205,0.48614051666802105,0.0,1.0,1.0,0.0,1.0,0.0
29.0,-0.4199613940251605,0.24255372605835615,7.0,0.19612821997786992,-0.4453123106220135,0.5869985278958665,0.40075685971179664,-0.15515062543276176,0.057128690751093406,0.26852389201835747,0.9928425798682502,0.24096512626091027,-0.15948377230252883,0.0,-0.04668905076822069,-0.805397562345283,0.6898660895999755,0.12821956650506205,0.47773769524106485,0.0,1.0,0.0,1.0,1.0,0.0
33.0,0.5387070901264687,1.077012358228627,1.0,0.19612821997786992,0.5112369946554578,0.5249121992660459,0.40075685971179664,0.6451549576076111,2.0691092477781097,0.6681422958491768,0.9928425798682502,0.24096512626091027,-0.15948377230252883,0.0,4.688149372240207,-0.07839481339820928,-1.4495566821959,0.12821956650506205,0.46093205238715246,0.0,1.0,1.0,0.0,0.0,1.0
22.0,0.29903996908856134,0.9379359195335819,7.0,0.19612821997786992,0.2720996683360897,-0.9651596878496453,0.40075685971179664,0.6451549576076111,0.057128690751093406,-0.016917825003654133,0.9928425798682502,-1.1162355113556872,-0.15948377230252883,0.0,-0.04668905076822069,-0.07839481339820928,-1.4495566821959,0.12821956650506205,0.46093205238715246,0.0,1.0,0.0,1.0,1.0,0.0
24.0,0.4649633605763433,0.7988594808385368,1.0,0.19612821997786992,1.467786299932929,-0.9651596878496453,0.40075685971179664,0.6451549576076111,0.057128690751093406,-0.7019779458564851,-0.08697769015742003,0.24096512626091027,-0.15948377230252883,0.0,-0.04668905076822069,1.3756106844959384,-1.4495566821959,0.12821956650506205,0.46093205238715246,0.0,1.0,0.0,1.0,1.0,0.0
27.0,-0.27247393492490984,0.5207066034484464,7.0,0.19612821997786992,-0.4453123106220135,0.5869985278958665,0.40075685971179664,-0.15515062543276176,0.057128690751093406,0.9535840128711884,0.9928425798682502,-1.1162355113556872,-0.15948377230252883,0.0,1.7841151394617047,-0.07839481339820928,0.6898660895999755,0.12821956650506205,0.46093205238715246,0.0,1.0,1.0,0.0,1.0,0.0
